Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
H1;Elizabeth Torres;Science & Society;None;None;1987-2000;None
Q1;Matthew Kanekoa;Science Digest;None;None;1972-1986;None
Q1;All;Science News;1988-2002;from 1975;1988-2002;Gale GREENR|
LB1585.3;Lisa Hausman;Science Scope;from 2005;from 2005;from 1989;General OneFile|
T1;All;Scientific American;1972-2003;from 1845;1972-2003;Academic Search Complete|Health Source: Nursing/Academic Edition|
GC1;All;Sea Frontiers;None;None;1971-1996;None
GC1;All;Sea Frontiers, Sea Secrets;None;None;1985-1987;None
HD38;Elizabeth Torres;Security Management;1993-2001;1989-2007;1993-2001;Business Insights: Global|
F868.S5;Lydia Lee;Sierra;1990-2002;from 1990;1980-2002;Science Reference Center|
HQ1101;Jerome Nicolas;Signs;1990-1990;1990-2017;1976-1990;Humanities International Complete|
BUSINESS AND ECONOMICS - PRODUCTION OF GOODS AND SERVICES;Crystal Boyce;Site Selection;None;from 2008;1994-2003;Business Source Complete|
QB1;All;Sky and Telescope;1993-2000;from 1993;1984-2000;Student Resources in Context|
No Call #;All;Small Business Reports;1992-1994;1992-1994;1985-1994;Academic OneFile|
Z678.9.A1;Crystal Boyce;Small Computers in Libraries;1988-1988;1988-1989;1988-1988;General OneFile|
AS30;Trenton Tubbs;Smithsonian;1984-2003;from 1984;1976-2003;EBSCO MasterFILE Complete|
HQ750.A1;Lydia Lee;Social Biology;1998-2003;1998-2006;1987-2003;Taylor & Francis Journals Current Content (1997-present)|
HV1;Elizabeth Torres;Social Casework;None;None;1988-1989;None
BF311;Tim Martin;Social Cognition;None;None;1996-2002;None
H62.A1;Elizabeth Torres;Social Education;2000-2008;2000-2009;1989-2008;Student Resources in Context|
HN51;Elizabeth Torres;Social Policy;1994-2002;1994-2003;1987-2002;Academic OneFile|
SOCIOLOGY;Elizabeth Torres;Social Problems;None;None;1987-2002;None
HM1;Tim Martin;Social Psychology;None;1978-1978;2006-2007;JSTOR Arts & Sciences I Collection|
HM1;Tim Martin;Social Psychology;None;1978-1978;2006-2007;JSTOR Arts & Sciences I Collection|
H1;Elizabeth Torres;Social Research;1990-1990;1990-2017;1987-1990;Academic OneFile|
H1;Elizabeth Torres;Social Science Journal;1990-2002;from 1990;1988-2002;Psychology and Behavioral Sciences Collection|General OneFile|Academic Search Complete|
SOCIAL SERVICES AND WELFARE;Elizabeth Torres;The Social Service Review;None;None;1987-1992;None
LB1584;Elizabeth Torres;Social Studies and the Young Learner;None;None;2004-2007;None
H1;Trenton Tubbs;Social Theory and Practice;1990-1990;from 1990;1987-1990;Academic OneFile|
HV1;Elizabeth Torres;Social Work Abstracts;None;None;2002-2007;None
HV45;Elizabeth Torres;Social Work with Groups;None;from 1998;1991-1996;Taylor & Francis Journals Current Content (1997-present)|
HX1;Elizabeth Torres;Socialist Review;None;from 2002;1988-2001;Open Access eJournals (McGill)|
H1;Elizabeth Torres;Society;None;1992-2017;1971-1991;EBSCO MasterFILE Complete|Points of View Reference Center|
HM1;Elizabeth Torres;Sociological Quarterly;None;None;1990-1991;None
SOCIOLOGY;Elizabeth Torres;Sociology and Social Research;None;None;1987-1992;None
BR115.W6;All;Sojourners;1999-2000;1999-2000;1996-2007;Educators Reference Complete|
TK7872.S4;All;Solid State Technology;1999-2001;from 1989;1999-2001;Business Source Complete|Business Insights: Global|
TK7881.3;Trenton Tubbs;Sound & Vision;None;None;2001-2008;None
BV1460;Trenton Tubbs;Soundings;None;None;1981-2007;None
AP2;Elizabeth Torres;The South Atlantic Quarterly;None;1999-2004;1988-1996;Project Muse Journals Standard Collection|
GN1;Crystal Boyce;Southwestern Journal of Anthropology;None;None;1987-2007;None
AS261;Elizabeth Torres;The Soviet Review;None;None;1990-1992;None
TL787;All;Space World;None;None;1982-1988;None
LIBRARY AND INFORMATION SCIENCES;Crystal Boyce;Special Libraries;1989-1996;1910-1996;1989-1996;Academic OneFile|
GV561;All;Sports Illustrated;1989-2008;from 1954;1989-2008;Academic Search Complete|
TK7881.3;Trenton Tubbs;Stereo Review;None;None;1989-1998;None
TK7881.3;Trenton Tubbs;Stereo Review's Sound & Vision;None;None;2000-2001;None
HD9951;Crystal Boyce;Stores;None;None;1993-1994;None
HD30.28;Crystal Boyce;Strategic Management Journal;None;None;1986-2007;None
HD28;Crystal Boyce;Strategy and Leadership;1996-1997;1996-1997 2001-2014;1996-1999;Business Insights: Global|General OneFile|
PN751;Elizabeth Torres;Studies in Romanticism;None;from 2000;1995-1999;Literature Resource Center|
RC569;Tim Martin;Suicide & Life - Threatening Behavior;None;None;1993-2007;None
HF5549.A2;Crystal Boyce;Supervisory Management;None;None;1993-1996;None
BF1;Matthew Kanekoa;Systems Research and Behavioral Science;1997-2007;1997-2017;1997-2007;General OneFile|Academic OneFile|
DS701;All;Taiwan Review;2003-2007;from 2003;2003-2007;Open Access eJournals (McGill)|
K24;Crystal Boyce;Tax Adviser, The;1995-1997;from 1991;1995-1997;Business Insights: Global|
K24;Crystal Boyce;Tax Management International Journal;None;None;1993-2001;None
KF6272;Crystal Boyce;Taxes;2006-2006;from 2006;1981-2006;Business Collection|
L11;Lisa Hausman;Teachers College Record;None;None;2006-2008;None
HISTORY;Trenton Tubbs;Technology and Culture;1998-1998;from 1998;1977-1998;Project Muse Journals Standard Collection|
T171;All;Technology Review;1990-1997;1984-1997;1990-1999;Educators Reference Complete|
Communications - Telephone And Telegraph;All;Telecommunications International;None;2002-2007;1997-2001;Business Source Complete|
TK5101.A1;All;Telephony;1997-1997;1997-2009;1993-1997;Vocational and Career Collection|
PN1992;All;Television quarterly;2004-2004;from 2004;1996-2004;Open Access eJournals (McGill)|
PE1128.A2;Ruth Hanlon;TESOL Quarterly;None;from 1997;1976-1996;Wiley Online Library All Journals 2018|
General Interest Periodicals - United States;All;Time;1967-2008;from 1923;1967-2008;Military and Government Collection|
RA410.A1;Elizabeth Torres;Topics in Health Care Financing;1992-1994;1992-1994;1988-1994;General OneFile|
HF5549.5.T7;Crystal Boyce;Training;1995-2007;1989-1991 from 1991;1995-2007;Military and Government Collection|Academic OneFile|
G149;Crystal Boyce;Travel & Leisure;None;from 2015;1993-2007;EBSCO MasterFILE Complete|
G149;Crystal Boyce;Travel Holiday;None;None;1989-2003;None
LITERARY AND POLITICAL REVIEWS;Elizabeth Torres;TriQuarterly;1992-1992;1992-2009 from 2010;1987-1992;Academic OneFile|Biography in Context|
Nutrition And Dietetics;All;Tufts University Diet & Nutrition Letter;1996-1997;1988-1997;1996-1998;Cinahl Complete|
HG1;Crystal Boyce;U.S. Banker;1995-2001;1989-2012;1995-2001;Business Source Complete|Academic OneFile|General OneFile|
KZ231;Elizabeth Torres;U.S. Department of State Dispatch;1990-1991;1990-1999;1990-1991;EBSCO MasterFILE Complete|
V1;Tim Martin;U.S. Naval Institute Proceedings;None;from 1999;1978-1988;Military and Government Collection|
General Interest Periodicals - United States;All;U.S. News & World Report;1990-2008;from 1990;1989-2008;Vocational and Career Collection|Military and Government Collection|
JX1977.A1;Elizabeth Torres;UN Chronicle;1988-2003;from 1983;1988-2003;Student Resources in Context|
QH91.A1;All;Underwater Naturalist;1999-2004;from 1999;1997-2004;General OneFile|General OneFile|
HT101;Elizabeth Torres;Urban Affairs Quarterly;None;None;1987-1994;None
HT101;Elizabeth Torres;Urban Affairs Review;1997-1998;1997-1998 from 1999;1995-1998;SAGE Premier 2018|Educators Reference Complete|
PSYCHOLOGY;Tim Martin;The Vocational Guidance Quarterly;None;None;1984-1986;None
HG1;Crystal Boyce;Wall Street Journal;1987-2009;from 1984;1987-2009;The Wall Street Journal|
AP2;Crystal Boyce;Washington Journalism Review;1992-1993;1992-1993;1990-1993;General OneFile|
E838;Elizabeth Torres;Washington Monthly;1985-1990;from 1985;1977-1990;General OneFile|
GR1;All;Western Folklore;None;from 2005;1991-2002;EBSCO Historical Abstracts with Full Text|
GR1;All;Western Folklore;None;from 2005;1991-2002;EBSCO Historical Abstracts with Full Text|
MEDICAL SCIENCES - NURSES AND NURSING;Elizabeth Torres;Western Journal of Nursing Research;1996-1998;1996-1998 from 1999;1996-1998;General OneFile|SAGE Premier 2018|
AP2;Lydia Lee;Whole Earth;1988-1996;1985-1996 1997-2002;1988-1996;Academic Search Complete|EBSCO MasterFILE Complete|
QH1;Lydia Lee;Wilderness;1990-1995;1990-1995 1998-2009;1989-1995;Academic Search Complete|General OneFile|
QL1;All;Wildlife Conservation;None;None;1994-2006;None
HISTORY - HISTORY OF NORTH AND SOUTH AMERICA;Trenton Tubbs;William and Mary Quarterly, The;1988-2007;1892-2012 from 2015;1988-2007;JSTOR Arts & Sciences I Collection|Project Muse Journals Standard Collection|JSTOR Free Early Journal Content|
LIBRARY AND INFORMATION SCIENCES;Crystal Boyce;Wilson Library Bulletin;None;None;1967-1995;None
AS36.W79;Elizabeth Torres;Wilson Quarterly;None;from 1990;1987-1989;Literature Resource Center|
HQ1101;Jerome Nicolas;Working Woman;None;None;1989-2001;None
Z1007;Elizabeth Torres;World Literature Today;None;from 1990;1985-1989;Academic Search Complete|
D839;Elizabeth Torres;World Policy Journal;1993-1993;from 1993;1987-1993;Project Muse Journals Standard Collection|World History in Context|Gale GREENR|
LITERARY AND POLITICAL REVIEWS;Elizabeth Torres;World Press Review;None;None;1984-2000;None
D410;Elizabeth Torres;The World Today;None;from 2008;1987-2007;Points of View Reference Center|
HC79.E5;Lydia Lee;World Watch;1994-2007;1993-2010;1994-2007;Student Resources in Context|
