Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
H1;Crystal Boyce;Brookings Review;1990-1998;1990-2003;1987-1998;Educators Reference Complete|
HC108.A75;Crystal Boyce;Business;None;None;1979-1990;None
HF3000;Crystal Boyce;Business America;1980-1998;1980-1998;1978-1998;Small Business Reference Center|
HD7102.U4;All;Business and Health;1989-2001;1989-2002;1988-2001;Academic OneFile|
HF5717;All;Business Communications Review;1991-1993;1991-2007;1989-1993;Small Business Reference Center|
HF5565;Crystal Boyce;Business Credit;1993-1999;from 1991;1993-1999;General OneFile|
HC101;Crystal Boyce;Business Economics;1990-1998;from 1989;1990-1998;Business Source Complete|
BUSINESS AND ECONOMICS;Crystal Boyce;Business History Review;1985-2000;1985-2000 2011-2013;1980-2007;General OneFile|Business Insights: Global|
HG8011;All;Business Insurance;1994-2008;from 1994;1993-2008;Business Insights: Global|Academic OneFile|
HC461;Crystal Boyce;Business Japan;None;None;1988-1991;None
BUSINESS AND ECONOMICS;Crystal Boyce;Canadian Business Review;1989-1996;1989-1996;1988-2004;EBSCO MasterFILE Complete|
MEDICAL SCIENCES - NURSES AND NURSING;Elizabeth Torres;The Canadian Nurse;2004-2007;from 2004;1996-2007;Cinahl Complete|
TL236;All;Car and Driver;None;from 2015;1989-2009;General OneFile|
PSYCHOLOGY;Tim Martin;Career Development Quarterly;1990-1995;from 1990;1986-1995;General OneFile|Student Resources in Context|
H1;Elizabeth Torres;CATO Journal;1993-1998;from 1990;1993-1998;EBSCO America: History and Life with Full Text|Business Insights: Global|EBSCO MasterFILE Complete|
LB2395.7;Lisa Hausman;Cause/effect;1995-1999;1994-1999;1995-1999;Open Access eJournals (McGill)|
E839.5;Elizabeth Torres;The Center Magazine;None;None;1989-1987;None
HF5428;Crystal Boyce;Chain Store Age Executive With Shopping Center Age;1993-1995;1984-1995 1999-2000;1993-1995;Business Source Complete|Business Insights: Global|EBSCO MasterFILE Complete|
LB2300;Lisa Hausman;Change;1990-1991;from 1990;1975-1991;Professional Development Collection|Academic Search Complete|
TP1;Lydia Lee;Chemical & Engineering News;None;None;2001-2007;None
AP2;Elizabeth Torres;Chicago Review;1988-1990;from 1988;1988-1990;Student Resources in Context|General OneFile|
LB1141;Lisa Hausman;Childhood Education;1993-1996;from 1993;1989-1996;Taylor & Francis Journals Current Content (1997-present)|Academic OneFile|
SOCIAL SERVICES AND WELFARE;Elizabeth Torres;Children Today;1990-1996;1990-1996;1989-1997;EBSCO MasterFILE Complete|
Transportation - Automobiles;All;Chilton's Automotive Industries;None;None;1993-1995;None
HF3128;Crystal Boyce;The China Business Review;1990-1998;from 1990;1987-1998;Business Source Complete|
DS701;Trenton Tubbs;The China Quarterly;1987-2003;1960-2013;1987-2003;Cambridge Journals All titles|JSTOR Arts & Sciences II Collection|
Z1035;Crystal Boyce;CHOICE: Current Reviews for Academic Libraries;None;2009-2017;1984-1990;Educators Reference Complete|
Religions And Theology;All;Christian Century, The;1992-2002;from 1992;1960-2002;Academic OneFile|
Religions And Theology;All;Christianity Today;1990-2002;from 1990;1989-2002;Student Resources in Context|
EDUCATION - HIGHER EDUCATION;Lisa Hausman;Chronicle of Higher Education;1999-2009;from 1999;1985-2009;Gale GREENR|
DE1;Trenton Tubbs;Classical Antiquity;None;None;1988-2001;None
L11;Lisa Hausman;Clearing House;1990-1998;from 1990;1990-1998;EBSCO MasterFILE Complete|Taylor & Francis Journals Current Content (1997-present)|
