Call #;Librarian;TITLE;WEED ISSUES;Available Online;PL Microfiche Holdings;Online Collection
HF5549.A2;Crystal Boyce;Getting Results ... for the Hands - On Manager;All;1996-1997;1996-1997;Business Source Complete
HF1;Crystal Boyce;Global Trade & Transportation;All;1993-1994;1993-1994;Business Insights: Global
AP2;All;Harper's Magazine;1992-2007;1968-2008;1992-2007;Academic Search Complete
R724;Elizabeth Torres;The Hastings Center Report;1987-1990;1988-2011;1987-1990;Health Reference Center Academic
HV687.5.U5;Elizabeth Torres;Health & Social Work;All;1990-1 year ago;1990-1998;Cinahl Complete
Health Facilities; Business & Economics;;Health Care Management Review;1997-1998;from 1997;1988-1998;LWW Total Access Collection 2015-Q1 with Neurology
HF5686.H7;Crystal Boyce;Healthcare Financial Management;1996-1998;from 1996;1988-1998;General OneFile
T1;Lydia Lee;High Technology Business;1988-1989;1988-1989;1987-1989;General OneFile
RT1;Elizabeth Torres;Holistic Nursing Practice;1999-2007;from 1999;1997-2007;LWW Total Access Collection 2015-Q1 with Neurology
Medical Sciences; Physical Fitness & Hygiene;Elizabeth Torres;Home Healthcare Nurse;2000-2007;2000-2014;1991-2007;LWW Total Access Collection 2015-Q1 with Neurology
RA960;Elizabeth Torres;Hospitals;All;1986-1993;1989-1993;Academic OneFile
RA960;Elizabeth Torres;Hospitals & Health Networks;All;1993-1998;1993-1994;General OneFile
HF;Crystal Boyce;HR Focus;All;from 1991;1991-1993;Academic OneFile
HF5549.A2;Crystal Boyce;HRMagazine;1991-1998;from 1991;1990-1998;General OneFile
AP2;All;The Hudson Review;2001;from 2001;1984-2001;Academic Search Complete
P91.3;Ruth Hanlon;Human Communication Research;All;from 1974;1982--1996;Oxford University Press Journals Online
H1;Elizabeth Torres;Human Relations;1998;1998-2000;1989-1998;Academic OneFile
HF5549.15;Crystal Boyce;Human Resource Development Quarterly;All;from 1990;1990-1999;Business Source Complete
JC571;Elizabeth Torres;Human Rights Quarterly;All;1991-1995; from 1995;1992-1999;"General OneFile, Academic OneFile"
HD2346.U5;Crystal Boyce;Inc;1984-1997;from 1984;1982-1997;Business Collection
TJ1;Lydia Lee;Industrial Distribution;1989-2007;1989-2009;1976-2007;General OneFile
TS300;Crystal Boyce;Industry Week;1984-1993;from 1984;1974-1993;Academic OneFile
Library and Information Sciences;All;Information Outlook;All;from 1997;1997-2007;Nursing and Allied Health Connection
Z678.9.A1;All;Information Technology and Libraries;1991-2004;from 1991;1989-2004;General OneFile
Computers;Mathew Kanekoa;InfoWorld;1992-1997;1992-2007;1988-1997;Academic OneFile
HG4501;Crystal Boyce;Institutional Investor;All;1997-2008;1997-2007;General OneFile
HG3810;Crystal Boyce;International Monetary Fund Staff Papers;1991-1998;1991-2001;1986-1998;General OneFile
QL81.5;Lydia Lee;International Wildlife;1990;1990-2002;1988-1990;Academic Search Complete
Computers;Mathew Kanekoa;InternetWeek;All;1997-2006;1998-2001;Business Insights: Global
P1.A1;Ruth Hanlon;"IRAL, International Review of Applied Linguistics in Language Teaching";1997-1999;1997-2000;1988-1999;Linguistics Database
TK5105.7;Lydia Lee;IT Architect;All;2005-2006;2005-2006;General OneFile
LB1050;Lisa Hausman;Journal of Adolescent & Adult Literacy;All;1989-2011;1995-1999;Linguistics Database
E151;Jerome Nicolas;Journal of American Studies;All;1990-1996;1990-1996;Cambridge Journals All titles
PN1991;Elizabeth Torres;Journal of Broadcasting & Electronic Media;All;from 1985;1991-1996;Communication and Mass Media Complete
HF5548.8;Crystal Boyce;Journal of Business and Psychology;All;from 1986;1995-1996;Business Source Complete
Business & Economics;Crystal Boyce;Journal of Business Ethics;All;from 1982;1987-1996;Business Source Complete
